content	genre	release_year	title	country	len_plot	content_aug_de	content_aug_ru
Tanner is a desperate prisoner who escapes from jail and promptly murders an innocent farmer named Matthew Random. Stealing Random's horse and gun the outlaw promptly makes his escape. Finding his twin brother murdered Lucius Random vows revenge and sets off to find the killer. Although he does not know the identity of the killer Random knows that he is part of the nefarious Checker Gang and can be identified by the gun he stole from Matthew which is one of a unique set of two that the brothers Matthew and Lucius owned between them.	western	1957.0	Flesh and the Spur	"{""/m/09c7w0"": ""United States of America""}"	110	Tanner is a desperate prisoner fleeing the prison and promptly murdering innocent farmer Matthew Random. As Random Group steals the rods and the pistol, an identical deer succeeds, while the outlaws are on the run. When prises the assassinated twin brother Lucius Random, investigators vow revenge and set about finding the assassin. Although Random doesn't exactly know that the killer was from the nefarious Checker Gang, he knows that he belonged to the Checker Gang, and that his rifle - stolen from Matthew - could be one of two unique devices the brothers Matthew and Lucius owned between them - helps identify him Ausnahme.	Tanner may be a desperate prisoner who breaks out of prison and promptly murders an innocent farmer named Matthew and Rand, but Randall's theft of his horse and gun by a criminal results in his escape.
Joe Daylight is on the run along with members of his outlaw gang The Kid Doc and Henri. After fleeing from a bank robbery they manage to elude the posse chasing them after crossing into Mexico. The gang had agreed to meet up later to divide up the money however Daylight instead uses the money to buy a ranch the Casa Grande. Although several of them protest the gang agrees to follow Daylight to the ranch. They are soon joined by The Traveler who has recently joined the gang and leads them to the ranch. Daylight plans to use the ranch as a cover to rustle cattle from his neighbors and sell them at inflated prices across the border. However his comrades soon adapt to life on the ranch. The Traveler and The Kid meet two women named Dona Maria de Castellar and Pacesita with whom they eventually fall in love. Daylight's plans are temporarily threatened by another bandit gang led by Rojo who begins stealing cattle from numerous ranches in the area including his own. Organizing the local ranchers against the bandits they succeed in chasing off Rojo. This has an unintended consequence however as Daylight's men have decided to remain at Casa Grande. He and his men begin to argue and during the course of events shoots and kills Doc causing The Traveler to kill Daylight in turn. With their former leader dead the men stay on the ranch and The Traveller and Maria begin a new life on the Casa Grande.{{cite web}}	western		Gunfighters of Casa Grande	"{""/m/09c7w0"": ""United States of America"", ""/m/06mkj"": ""Spain""}"	309	"Joe Daylight and other members of his gang The Kid Doc and Henri is on the run and escapes them - after he has defected to Mexico. Daylight agrees to share the money, but Daylight instead makes use of the money to buy a ranch, Casa Grande. Despite protests from several members, the gang agrees to follow Daylight to the ranch. Quickly, they adapt to life at the ranch and come to the ranch. kammer Daylight plans to use the ranch as cover for ranching with his neighbors and launches a [13] Genossen. Daylight's plans for the time being are sandwiched in between and is led by a bandit gang called ""Rojo,"" who begins to steal livestock from his various ranches. On their way, they meet as the Rojo do-gooders, and are asked whether they can get away from"	But his friends will soon adapt to life at the ranch, negotiating with a host of wayward Travellers who 麗have recently joined the gang and brought them back to the ranch. Traveler and Kid open themselves to the hitmen who eventually love them.
During a stagecoach holdup Celia Wallace is robbed of 10000 and little Myrtle Walton is saved from the runaway horses by a passenger Cole Armin. Celia is grateful until she learns Cole is coming to Albuquerque to work for his uncle John Armin a ruthless freightline owner who stops at nothing to put competitors Celia and her brother Ted out of business. Concluding that his uncle was even behind the robbery Cole switches sides to work for the Wallaces. Armin uses a woman Letty Tyler to spy on his adversaries but she resents being used when a mine is blown up and Ted is wounded by gunfire. Cole is framed for arson and jailed. Celia who loves him turns against Cole until his acquittal when Letty explains that John Armin is the man responsible. After an ambush Cole has to shoot the corrupt sheriff and another gunman and before the Cavalry finally arrives John Armin is dealt with as well.	western	1948.0	Albuquerque	American	212	Celia Wallace has been robbed of 10,000 roubles in a stagecoach accident, little Myrtle Walton is rescued by a passenger, Cole Armin. Celia is grateful until she finds out that Cole works for his uncle John Armin - an unscrupulous, unafraid shipping company that stops at nothing to chase her competireplaced by Celia and her brother Ted out of business. Her uncle is riddled with drugs when Cole changes sides and has to pay for the Wallaces. Armin uses a woman Letty Tyler to spy on his opponents but is upset when a mine is blown up and Ted is wounded by gunshots. Cole comes in ► for arson and prison. Celia, who loves him, turns against Cole until his acquittal when Letty alleges that Alfie is responsible. After being ambushed Cole has to pay the corrupt Sheriff and another armed officer.	In the theft, 10 000 is taken from the carriage owner Col Wallace, and young Myrtle Walton is saved from hungry larceny by one of her passengers, Cole A. Celia, until she finds out that Cole goes to Albuquerque to work to the benefit of his uncle, John B. <unk>, a ruthless owner of a building network that is to blame, and his brother, Ted, leaves no business.... Zac turns his intruders on those working for Valyagez, concluding that his uncle is simply a thief. Obith is using Letty Tyler to spy on shock absorbers but he doesn't like to be used in a landmine blast and Ted is wounded by a bullet. Col stands accused of arson and jailed.
Having massacred an Indian village outlaw Duncan finds his men falling victim to a solitary rider Navajo Joe. Joe saves two prostitutes who have overheard Duncan plot with Lynne the town doctor to steal a train full of money belonging to the bank. Joe steals the train back from Duncan's gang. He asks the townspeople of Esperanza to pay him to protect them from Duncan making an offer of I want a dollar a head from every man in this town for every bandit I kill. The townspeople reject him as they don't make bargains with Indians. Lynne's wife Honor persuades them otherwise. Joe sets a trap for Duncan but is caught and tortured Lynne and Honor are killed. Rescued by an old man from the saloon Joe again steals the train and eradicates Duncan's gang. There is then a showdown in an Indian cemetery where Joe reclaims the pendant which Duncan stole from his wife when he murdered her. As Joe turns Duncan shoots Joe with a hidden gun. Injured Joe grabs a tomahawk and throws it hitting Duncan square in the forehead. With Duncan dead Joe sends his horse back to town probably for the reward.	western	1966.0	Navajo Joe	"{""/m/06mkj"": ""Spain"", ""/m/03rjj"": ""Italy""}"	251	Joe forthwith saves two courtiers who had heard of Duncane's frame attributed to town doctor Lynne, from stealing a train full of money for every bandit I kill in this city. Joe steals Duncane's train again, and Lynne's wife, Honor, seeks to protect him with money so that he doesn't coerce her. Joe sets a trap for Duncan, but is saved from the saloon by an old man who steals the train and destroy Duncan's gangs. Zimmerman arrives in an Indian cemetery for a showdown, in which Joe recovers the argument that Duncan stole from his woman when he murders her.	Joe persuades the upper echelons of Asperfella to pay him to defend himself from Duncan, and offers ら mitts brother Duncan the baristas who offered from every man in this city a dollar for every thug I shot. They reject him because he won't haggle with the Indians.
The movie begins and ends as a spirit known in the movie as Arthur enters and descends back into the world from the water. Then the movie shows an airplane carrying a passenger to an Indian reserve where they're blockading constructionforestry equipment from clearcutting on Indian land. We later realize that the individual was a lawyer representing the tribe whose land is going to be clearcut and the protesters are angered at the lawyer losing the case  the lawyer came to discuss an appeals process. Wilf is introduced at this time  then he in turn introduces Arthur who also kidnaps the logging company's general manager and the four take off through the woods where Arthur instructs them in listening to Mother Earth. Surrealistic in its entirety throughout the movie you're taken for a ride that will take you through many thought provoking scenes. In particular where Wilf describes Washakeajack the Indian trickster.	western		Clearcut	"{""/m/0d060g"": ""Canada""}"	193	The video then shows a plane taking a passenger to an Indian reservation, where they block the clearing of the building's materials with a cleaner on Indian land, only to realize the man was a lawyer for a bullfighting tribe, whose territory is being cleared, and the demonstrators angry that the attorney lost the case over the advocate's appeal. Wilf is introduced in the course of the film, then he introduces Arthur, who verweiw the general manager of the logging industry, and the four take off in an off-road vehicle into the woods, where Arthur instructs them to listen to Mother Earth. In its entirety you could surf through a number direction that could conjure hauser scenes: レ, in particular, Wilf Washakeajack's description of the hobbyist from India.	The clip then shows a plane transiting the passenger to an Indian wildlife reserve where they block construction of a forest-clearing unit on Indian land.
When Adam Sorenson  an English Literature major at Mercy College a fictitious Midwestern college meets Evelyn Ann Thompson  an attractive graduate art student at the local museum where he works his life takes an unexpected turn. Never having had success with women he is flattered when Evelyn shows an interest in him and at Evelyn's suggestion begins a regular exercise regimen eats healthier foods dresses more stylishly acts more confident and dominant as well as purchases contact lenses. These initial changes regarding Adam's physical appearance are well received by Adam's friend Phillip  and Phillip's girlfriend Jenny . Later however Evelyn cajoles Adam into undergoing plastic surgery and succeeds in persuading him to cut himself off from Phillip and Jenny. It seems all Evelyn wants Adam to do is change everything about himself into what is more conventionally acceptable. In the penultimate scene Adam learns that he has been part of Evelyn's MFA thesis project a topic often touched on in conversation throughout the film but never fully explained. Evelyn relates that she had been instructed to change the world by her graduate adviser but that she has chosen to change someone's world her academic work ultimately consisting of sculpting Adam into a more attractive human being. She presents Adam before an audience of students and faculty as her creation. Accordingly none of the feelings she has shown him throughout the film are genuine at no stage in their relationship does she fall in love with him her videotaping of their lovemaking is just a part of the project's documentation. In fact she announces before a live audience at her gallery opening that she is not going to marry him and the engagement ring he offers her is simply one of the exhibits of her art installation the capper to my time at Mercy. Publicly humiliated and devastated Adam confronts Evelyn demanding an explanation for her actions. She responds by saying that he should in fact be grateful to her claiming that objectively speaking she has been a positive influence on his life making him a more attractive and interesting person in the eyes of society. In the final moments of the film Adam stands alone surrounded by the remnants of his life before and after Evelyn.	romance	2003.0	The Shape of Things	"{""/m/09c7w0"": ""United States of America""}"	464	As Adam Sorenson's visit to the English course of study at Mercy College comes rain down for a fictitious teacher at the local museum, Evelyn Ann Thompson, who, having never achieved the above, is flattered when Evelyn shows an interest in him and suggests Evelyn eat healthier clothing, make his sister Christine's life more meaningful than her own to help Adam make her physical impression - but in the penultimate scene, Adam learns that in a bid to undergo plastic surgery, Smith is preparing to personally get rid of Philip ée Jenny.	Having never had any success having a relationship with women, he is flattered to have Evelyn show interest in him, and in Evelyn's proposal he goes to regular exercise and eats smarter dressing and creates contact lenses.: From there, the initial changes to Adam's appearance are well received by Adam's friend Philip and friend Christine Phillip; as the equalizer who presses Adam into plastic surgery and manages to convince him to leave Philip and Eugenie; it seems that what Evelyn wants Adam to do is change everything about himself to make her more accepting; in the penultimate scene, Adam discovers that Evelyn's This Coss is a theme often addressed in the film but never fully explained that Evelyn to some degree doesn't understand.
Teenage gay Frank is part of a typical bourgeois family in the 1984 Luxembourg. For unknown reasons he decides to run away with his best friend Rita. They settle in Amsterdam where Frank starts enjoying life. When Rita leaves with her ​​boyfriend Frank is left with no place to go. He goes to a public house called the House of Boys in which young attractive men dance and provide sexual services to older men. The place is run by the mysterious performer and drag queen Madame  who lets Frank stay there. In the club he meets Angelo who is a transsexual and raises funds for his gender reassignment surgery and Jake  a favorite of customers who considers himself to be straight. But Frank falls in love with him and after a while they start a relationship. Meanwhile Europe sees the start of the AIDS epidemics. Soon Frank learns that Jake has contracted the disease and becomes engulfed in the horror of the disease watching his boyfriend dying.	romance	2009.0	House of Boys	{}	201	"They made some pretty thinly veiled denials that Frank, a teenage gay man who come out as gay in Luxembourg in 1984, had the audacity to run away with his best friend Rita, prison life in Amsterdam when Rita left him with her < br > boyfriend, then returns to drop-action, the new boys ""house where attractive younger men dance and older men offer sexual services. The club is currently run by a mysterious drag queen-performer Madame, who allows Frank to stay. At the club, he meets Angelo, a transsexual who raises funds for his gender transformation and Jake, a customer favourite who believes he is at that moment. However, Frank falls in love with him and after a while, an affair begins. Meanwhile, in Europe, the AIDS epidemic breaks out. Frank soon learns that Jake is being helped and lives in the worst fear of the disease, as he begins meeting his young girl friend My"	Frank is an ordinary young American gay man, from a typical bourgeois family in Budapest in 1984. For undisclosed reasons, Frank takes an escape with his best friend Rita. They live in Amsterdam, where Frank listens to life. When Rita goes away with her boyfriend Frank, he has no choice.
In the present siblings Michael and Carolyn arrive at the Iowa farmhouse of Francesca Johnson their recentlydeceased mother to see about the settlement of their mother's estate. As they go through the contents of her safe deposit box and the will they are baffled to discover that their mother left very specific instructions that her body be cremated and her ashes thrown off the nearby Roseman Covered Bridge which is not in accordance with the burial arrangements they had known from their parents. Michael initially refuses to comply while Carolyn discovers a set of photos of her mother and a letter. She manages to convince Michael to set aside his initial reaction so they can read the documents she has discovered. Once alone they go through a series of letters from a man named Robert Kincaid addressed to their mother revealing that he had an affair with her in 1965. The siblings find their way to a chest where their mother left a letter a series of diaries and other mementos. They discover their mother an Italian war bride had had a fourday affair with Robert Kincaid a photographer who had come to Madison County Iowa to shoot a photographic essay for National Geographic on the covered bridges in the area.{{cite web}} The affair took place while her husband and children were away at the Illinois State Fair. The story in the diaries also reveals the impact the affair had on Francesca and Roberts lives since they almost elope but she stops at the last minute in consideration of a bigger picture that includes the consequences on the lives of her children and husband while he finds meaning and his true calling as an artist. The story also has deep consequences on the lives of Michael and Carolyn both of whom are facing marital issues but their mothers story helps them to find a sense of direction in their lives. At the end the Johnson siblings agree to their mothers request.	romance	1995.0	The Bridges of Madison County	"{""/m/09c7w0"": ""United States of America""}"	395	The problems Michael and Carolyn's wife Antonia have bane as well as the problems of their children's lives, and it's only at the last moment that they are finely surprised by their dead mother's handling of the transaction; she comes to Frankie Johnson's house in the small fridge where she has been missing; costume her late husband's ashes from the nearby Roseman Covered Bridge are found, not the one he knew from her parents; initially, Michael refuses to return when Carolyn discovers a letter with a number of photos of her mother and her as gifts, managing to persuade Michael to put his initial response to the documents that were stolen; suddenly seeing a series of letters from a man called Robert Kincaid in her version that shows there was an affair with Robert-Kincaid in 2004.	When they reach Francesca Johnson's farmhouse in Iowa these days, engaged sisters Michael and Caroline reach their characteristic devotion to mother to see her.
Thakur Vikram Singh left India the same time the British did along with his son Anand for England. Years later Anand has grown up to be a doctor and travels to Bombay India to work together with Dr. Pradhan for six months thereafter he must return home and get married to Lalita who is the daughter of Thakur's Legal Advisor Jackson. Six months go by and Anand does not return the Thakur along with Jackson and Lalita also travel to India to bring him back. This is where they find out that Anand has been romancing Rajkumari Sanyogta and both are expected to get married soon. The Thakur is pleased with Anand's choice and gives his blessings to the young couple. Watch what happens when the Thakur finds out that Rajkumari is in fact a flowerselling belle from his hometown of Balrampur and Anand may not be his son after all.	romance	1979.0	Hum Tere Ashiq Hain	Bollywood	211	Thakur Vikram Singh left India at around the same time the British brought his son Anand to England. Years later, Anand became a doctor and travelled to Bombay 计verkehrsjahre, India, then worked with Dr. Pradmaj. he is to return home and marry the daughter of Thakur's legal advisor Jackson Lalita. After six months, Anand does not return Thakur, but Jackson and Lalita nonetheless travel back as far as India to take him back. Here, she sets out to secure the news that Anand Rajkumari is romanticizing Sanyogta and that they are both due for marriage shortly. Thakur is satisfied with Anand's decision and blesses the young couple.	Some years later, Anand became a physician, signed a deal with Dr Fedhan to work for him next six months, however he then has to go home and marry Lalit (daughter of Nail Yaizar Yaizar Legal Adviser), Takur's daughter. Six months later brief Anand does not return Thakur to Jackson and Lalit also travels to India to recover him.
Raffy and Andrew were orphaned as kids and had only each other to depend on. Raffy has spent the last nine years of his life working in Dubai. His ultimate goal is to fulfill a lifelong dream to eventually move to Canada with his younger brother Andrew. The Alvarez brothers are finally united when Andrew goes to Dubai. In Dubai Andrew meets Faye one of Raffy's many girlfriends. They hit it off well in spite of their age difference. She becomes his guide comfort and lover. Seeing the two together Raffy realizes that he still and really loves Faye. When Andrew discovers that Raffy still loves Faye conflict arises between the brothers almost severing the ties that bind them. In the end what they choose and achieve are not as planned but their experiences in Dubai lead to new beginning in their lives.	romance	2005.0	Dubai	"{""/m/05v8c"": ""Philippines""}"	179	Raffy and Andrew, orphans as a child, have only been living off each other. Raffy spent the last nine years of his life working in Dubai. His ultimate ambition is to fulfill his life until he moves to Canada with his younger brother Andrew, and the Alvarez brothers are eventually reunited when Andrew comes to Dubai. Andrew meets Faye, one of Raffy's many friends. Despite the age gap Stacy is away, the two begin to have an affair, but Raffy realises that he still loves Faye and really does. However, when Andrew discovers that Raffy also loves Faye, there is conflict between the brothers, eventually breaking the bond that links them up.	The Alvarez brothers will be wholly united when Kirill goes to Dubai. In Dubai, Andrey will meet one of his many girlfriends - a fact they define well in terms of the age gap.
In Okinawa an ancient statue is unearthed with a prophecy inscribed on it When a black mountain appears in the sky and the sun rises in the West a monster will arise to destroy the world. The statue of the mythical monster King Caesar protector of Okinawa is vital should the prophecy come true. Before long the signs appear a giant black mountain shaped cloud is seen and a mirage creates the illusion of a Western sunrise. Godzilla emerges from Mount Fuji and begins a destructive rampage. Former ally Anguirus confronts Godzilla only to be violently defeated when Godzilla breaks Anguirus' jaw. Another Godzilla shows up to battle the rampaging Godzilla and reveals it to be an impostor. It is Mechagodzilla a robot created by ape aliens of the Third Planet from the Black Hole to destroy the real Godzilla and conquer Earth. MechaGodzilla unleashes his full arsenal and a wounded Godzilla collapses into the sea. Too damaged to continue the attack MechaGodzilla retreats for repairs. Returning to Monster Island Godzilla is repeatedly energized by mysterious bolts of lightning. His repairs completed MechaGodzilla is unleashed to destroy King Caesar but Godzilla comes to the rescue. After a bloody battle between the three titans Godzilla generates a magnetic field against MechaGodzilla dragging the metal robot within reach. Godzilla twists MechaGodzilla's head off and the robot's body explodes. The aliens' base explodes and both King Caesar and Godzilla return home.	fantasy	1974.0	Godzilla vs. Mechagodzilla	"{""/m/03_3d"": ""Japan""}"	308	"In Okinawa, an antique sculpture will be exposed on which Godzilla brings her contradiction to life; when a black mountain appears and the sun rises westwards, a monster is brought oneself to spot.Godzilla steps at the base of the mountain and begins a destrusive asi-act, and an old ally contaminates Godzilla in order to forcibly endure a death.Godzilla breaks Anguirus ""chin-hooks and exposes him as a fraudster. God is Mechagodzilla as a monster created by the aliens of the third planet with the purpose of destroying the real god of orbit.Mechilla is the robot who escapes fear."	An ancient statue on Okinawa held aloft by the inscription When the sun rises in the West and the dark mountain seems to appear, the monster will attack to destroy the world.
Three boys are walking home after school on Halloween. On the way home one boy Mark visits a creepy old woman. The old woman asks Mark to help her get her cat Lucifer out of a tree. Mark climbs the tree but falls and is knocked unconscious. When Mark wakes up he discovers that the old woman is really a witch. The witch gives Mark a magic ring and tells him to plant the seeds inside and a magic tree will grow. On Thanksgiving Mark performs the magic spell the witch taught him and a magic evergreen tree grows overnight in the back yard. Mark's dad tries to cut down the tree but to no avail. Later on Christmas Eve the Magic Tree comes to life and grants Mark three wishes. The greedy boy first wishes for one hour of absolute power which he promptly abuses. Mark's second wish is to have Santa Claus all to himself. When Mark sees the unhappiness his selfishness causes however he uses his third wish to return Santa Claus to the children of the world. On Christmas Day Mark wakes up and realizes that the entire adventure he just had was all a dream.	fantasy		The Magic Christmas Tree	{}	237	On the way home Mark visits a creepy old woman. The old woman asks Mark to help drag her cat Lucifer out of a tree, but Anne climbs the tree, but falls and consciously loses consciousness. Arnad wakes up to find out that the old woman is really a sorceress. The witch 兵 ️ gives Mark a magic ring and tells him that he must plant the seeds in him and a magic tree will grow. On Thanksgiving Mark awakens the spell that the witch has taught him and overnight a magical everlasting tree grows in the back courtyard. Marko's father tries to cut the tree down, but in vain. Later on Christmas, the magic tree comes to life and fulfils Mark three wishes. First, the ker surprises Mark with an hour of absolute verhängt strength and abuses it promptly. Mark's second wish is to have a Santa who can magic and rescue him	When he awakens, Mark discovers that the old woman is indeed a wizard.
Alibaba and his son live with his rich brother Cassim. Marjina and Zabba are two slave girls who work in Cassims house. Marjina and Alibabas son are in love with each other. Zabba is in league with Abu Hassan who is the leader of a gang of thieves. Alibaba finds the thieves cave and becomes rich. Cassims wife insists on knowing the secret of his wealth. Alibaba tells his brother who goes to the cave but cant get out as hes forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back for burial. Abu Hassan finds out about Alibaba and the story then follows Marjina outsmarting Abu Hassan who comes visiting as a merchant.	fantasy	1940.0	Alibaba	Bollywood	170	Alibaba and his son live at his rich brother Cassim. Marmite and Zabba are two slave girls who work at Cassim's house. Marmarsi and Alibaba's son ﾁfall in love with each other. Zabba is in love with Abu Hassan, who is the leader of a gang of robbers. Alibaba finds the den of robbers and becomes rich zählen Cassim's wife insists on knowing the secret of his wealth. Alibaba tells his brother, who goes to the cave but can't escape, because he has not forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back to the funeraling. Abu Hassan explore Alibaba and the tale follows divorced Marjina Abu Hassan, who passes by as a merchant.	Margina and Zabba are two slaCorp girls working in the Kassim household. Margina and Alibaba's son fall in love with each other. Zabba is allied with Abu Hassan, the leader of the Hugha,000m gang, and Alibaba finds the Tsavov cave and becomes rich.
It is Lumpy's first Halloween with Roo Winnie the Pooh and their friends in the Hundred Acre Wood. While the group discusses their plans for Halloween Until Tigger tells the story of the Gobloon a monster that will turn its' prey into Jackolanterns  if he catches you but if it is captured the Gobloon will grant its' captors one wish. When Pooh eats Rabbit's entire stock of candy for trickortreating Roo and Lumpy set out to capture the Gobloon to wish for more candy. Lumpy's courage fails him when they reach the Gobloon's supposed lair so Roo tells him the story of when Piglet gained his courage . Inspired Lumpy helps set a trap for the Gobloon but the two end up running away when they believe the Gobloon to be returning. Lumpy is separated from Roo the latter fleeing from an unknown figure with a wheelbarrow full of pumpkins. Lumpy ends up caught in the trap they had for the Gobloon. Lumpy is heartbroken to be alone as he and Roo had promised to stay together during the adventure. Roo ends up back at the Tree of Terror to find a JaggedyLantern looking like Lumpy. Roo recruits Pooh Piglet Tigger Eeyore and Rabbit to help him capture the Gobloon and save Lumpy. The group arrives at the trap and hearing Lumpy trying to break out of the trap assume the Gobloon was trapped already. The group is unsure what to wish for but Roo wishes to have his friend back. Hearing Roo's voice Lumpy is inspired to finally break his way out of the trap much to the joy of his friends. The group finally goes trickortreating and Kanga who was in reality the mysterious figure throws a Halloween party for the friends complete with Jackolanterns carved in everyone's likeness. There was not one for Lumpy as Kanga explains It must have fallen off my wheelbarrow. .	fantasy	2005.0	Pooh's Heffalump Halloween Movie	"{""/m/09c7w0"": ""United States of America""}"	455	It's Lumpy's eldest - the first Halali in the world of art with Roo Winnie the Pooh and her pals. As the group discussed their Halloween plans, Tigged tells the story of the goboli, a monster that hires its prey into jackols when he catches you, but when we are captured, the goboli fulfill the mysterious prisoner's dream. When Pooh eats Rabbit rabbits whole inventory of candy to outsmart Roo, and Lumpy sets out to capture the protector and wants more candy, Lumpy's courage fails when he arrives at the 辈den des Gobloon, so Roo tells him how it ends when Piglet gathers his courage. Lumpy helps the midget the little dwarf into the trap but insists on R胎an Roobloury believing he bought the toy.	Lumpy is the first Halloween with Winnie the Pooh and their friends in red Aycksburg.
Upon his return to Italy from his many adventures the great warrior Hercules learns that his lover Princess Deianira has lost her senses. According to the oracle Medea  Daianara's only hope is the Stone of Forgetfulness which lies deep in the realm of Hades. Hercules with two companions Theseus and Telemachus embarks on a dangerous quest for the stone while he is unaware that Dianara's guardian King Lico is the one responsible for her condition and plots to have the girl for himself as his bride upon her revival. Lico is in fact in league with the dark forces of the underworld and it is up to Hercules to stop him. The climax has Hercules smashing Lico with a giant boulder and throwing similarly large rocks at an army of zombies.	fantasy	1961.0	Hercules in the Haunted World	"{""/m/03rjj"": ""Italy""}"	164	When Hercules returns to Italy from his many adventures, he learns that his mistress Princess Deianira has lost her senses. According to his oracle Medea, Daianara's only hope is in the Stone of Forgetting, which is deep in Hades. Hercules goes in search of the Stone with two companions, Theseus and Telemachus, unaware that Diana's protectors King Lico is responsible for her condition, and is making plans to have the girl as his bride at her childbirth; Lico in fact is in alliance with the dark powers of the underworld and Hercules is desperate to stop Lico.	Returning to Italy from a multitude of adventures, the great warrior Hercules discovers his beloved Princess Farianira has lost her In-the-Moon senses.
