content	genre	release_year	title	country	len_plot
The film revolves around three characters – Vinod  Santhosh and Kochumon . The trio eats sleeps and parties together in Kuttanad. They also have their individual ambitions in life. Vinod is in love with his uncle's daughter Kalyani . He is madly pursuing a government job because his uncle agrees to the marriage if and when he obtains one. Kochumon is desperate to go abroad and get rich while Santhosh is committed to start a computer center. All goes well until Mahesh enters a collegemate of Vinod. Son of a former MP  he is in love with Aiswarya  daughter of a bigwig in Govindapuram. Shocked by Maheshs suicide attempt due to love failure the trio promises to help him out and unite the two lovers. They set out to Govindapuram where they enlist the help of their old friend Chenkal Choola Babu . The trio manages to help the couple get married and settle down in a safe place. Caught between the two families Santhosh loses his leg and Kochumon goes deaf. Meanwhile Vinod suffers a personal loss in the family. Soon they realise that the battle they fought did not serve any purpose because the couple develop difference of opinions and split within a short time. Their sacrifices for their friend's love amounted to nothing. What the trio then does to teach the couple a lesson forms the movie climax.	romance	2011.0	Ithu Nammude Katha	"{""/m/03rk0"": ""India""}"	310
Cast Violent Jnbsp– J Shaggy 2 Dopenbsp– Shaggy Krista Kalmusnbsp– Amy Lindsay Ballewnbsp– Stacy Kathlyne Phamnbsp– Tiffany Damian Leanbsp– Brad Sabin Richnbsp– Carl Mark Jurynbsp– Guy In Car Roxxi Doltnbsp– Girl In Car	horror	2004.0	Bowling Balls	"{""/m/09c7w0"": ""United States of America""}"	109
Pablo Neruda the famous Chilean poet and communist is exiled to a small island in Italy for political reasons. His wife accompanies him. On the island local Mario Ruoppolo is dissatisfied with being a fisherman like his father. Mario looks for other work and is hired as a temporary postman with Neruda as his only customer. To get the job he must declare himself a communist to keep the postmaster happy. He uses his bicycle to hand deliver Neruda's mail. Though poorly educated the postman eventually befriends Neruda and becomes further influenced by Neruda's political views and poetry. Meanwhile Mario falls in love with a beautiful young lady Beatrice Russo who works in her aunt's village cafe. He is shy with her but he enlists Neruda's help. Mario constantly asks Neruda if particular metaphors he uses are suitable for his poems. Mario is able to better communicate with Beatrice and express his love through poetry. Despite the aunt's strong disapproval of Mario because of his sensual poetry  Beatrice responds favorably. The two are married. The priest refuses to allow Mario to have Neruda as his best man due to politics however this is soon resolved. This was because Di Cosimo was the politician in office in the area with the Christian Democrats. At the wedding Neruda receives the welcome news that there is no longer a Chilean warrant for his arrest so he returns to Chile. Mario writes a letter but never gets any reply. Several months later he receives a letter from Neruda. However to his dismay it is actually from his secretary asking Mario to send Neruda's old belongings back to Chile. While there Mario comes upon an old phonograph and listens to the song he first heard when he met Neruda. Moved by this he makes recordings of all the beautiful sounds on the island onto a cassette including the heartbeat of his soontobeborn child. Several years later Neruda finds Beatrice and her son Pablito in the same old inn. From her he discovers that Mario had been killed before their son was born. Mario had been scheduled to recite a poem he had composed at a large communist gathering in Naples the demonstration was violently broken up by the police. She gives Neruda recordings of village sounds that Mario had made for him.	romance	1994.0	Il Postino	"{""/m/0f8l9c"": ""France"", ""/m/0154j"": ""Belgium"", ""/m/03rjj"": ""Italy""}"	478
In this lurid melodrama Tod Slaughter plays a villain who murders the wealthy Sir Percival Glyde in the gold fields of Australia and assumes his identity in order to inherit his estate in England. On arriving in England he schemes to marry an heiress for her money and with the connivance of the enigmatic Count Fosco embarks on a killing spree of all who suspect him to be an imposter and get in the way of his plans to be the Lord the Manor.	thriller	1940.0	Crimes at the Dark House	"{""/m/07ssc"": ""United Kingdom""}"	103
Zandy Allan is a hardworking cattle rancher in a remote part of the American West who needs a hired hand more than he needs a wife. He sends away for a mailorder bride a Swedish woman who lives near Minneapolis. Expecting a woman in her 20s Zandy is surprised when Hannah Lund turns out to be 32. He is not interested in love only in work although this does not keep him from misbehaving around a local woman named Maria. Hannah is here in his mind strictly to help Zandy and his family run the ranch. Zandy is unaccustomed to the ways of the world and clearly a fish out of water during a visit to San Francisco. The more time he spends with Hannah meanwhile the less he comes to treat her as a mere possession that he has bought.	western	1974.0	Zandy's Bride	"{""/m/09c7w0"": ""United States of America""}"	171
Pike  the righthand man of cattle rancher Bob Morgan  is entrusted with a mission to deliver 86000 across the border to the Morgan Ranch in Sonora Mexico after his boss dies. Pike teams up with dishonest gambler Tyree and are forced to trust each other while being pursued by various outlaws and gunmen trying to possess the money including the ruthless bounty hunter Kiefer and corrupt sheriff Kane Barry Sullivan . Along the way the duo comes across a prostitute in need of rescuing and Kashtok  a mute Indian scout skilled in martial arts who help them on their journey. After numerous gun battles and chase sequences Pike and Tyree reach the end of the line at an abandoned mine where they duke it out over the money yet finally settle and work together after getting word of the approaching gunmen. They devise a plan to escape by using explosives to blow up the mine shaft behind them killing all their pursuers except for Kiefer who decides to forgo his bounty and let the men continue their quest to reach the ranch.	western	1975.0	Take A Hard Ride	"{""/m/09c7w0"": ""United States of America"", ""/m/03rjj"": ""Italy""}"	223
Peacetime sailor John J. Baggs is unable to get paid or receive new orders because somehow the U.S. Navy has lost his file. He is able to come and go from the base until curfew. One night in a bar he spots an attractive woman hustling guys at a pool table. He challenges her himself and develops an interest in the woman Maggie who turns out to be a prostitute living in a tenement with a young black son Doug. Baggs begins spending time with Maggie at the apartment where Doug is often left to fend for himself. His attempts at creating a normal life for her succeed for a while but Maggie cannot change the way she is. Doug suspicious and cynical at first bonds with Baggs who devotes his free time to the kid and even gets his teeth fixed. But both know that soon Baggs will be reassigned and gone for good. The Navy's mixup continues to baffle Baggs until one day a veteran sailor named Forshay not only finds the file but volunteers to change places with Baggs and ship out under a false name. Baggs and Doug may not have Maggie around any more but they've got each other.	romance	1973.0	Cinderella Liberty	"{""/m/09c7w0"": ""United States of America""}"	249
A Greek chorus narrates and comments  and Oedipus Jocasta Tiresias and Cassandra sometimes directly intervene  in this modern fable. Sportswriter Lenny Weinrib is married to careerdriven wife Amanda . She wants a baby and because she cannot afford to get pregnant due to her job she says they will adopt. Lenny is opposed to this but as always Amanda has her way. They adopt a baby boy whom they name Max. As the child grows up it becomes clear he is highly intelligent. Lenny becomes obsessed with learning the identity of Max's biological parents. After great difficulty Lenny finally locates Max's mother prostitute and parttime porn star Linda Ash . Lenny makes an appointment with her. At first Linda appears to be a dumb blonde with a crude sense of humor along with delusions of becoming an actress. Lenny does not sleep with her and urges her to stop being a prostitute. Linda becomes furious and throws him out. It takes a while for Lenny to befriend Linda but then he begins her lifestyle makeover. Lenny also tricks her into telling him about the child she gave up for adoption. He persuades Linda to quit her profession and even bribes her violent pimp with basketball tickets to let Linda go. Lenny then sets Linda up with a boxerturnedonion farmer Kevin . It appears to be a perfect match until Kevin discovers Linda's background and leaves her. Meanwhile Amanda has been having an affair with her colleague Jerry . Lenny finds out about it. Lenny and Linda console one another and sleep together. Lenny then reconciles with a guiltridden Amanda realizing they are still in love. Linda makes one last attempt to win back farm boy Kevin. But as she drives back to the city a helicopter drops out of the sky. Linda gives the pilot Don a lift and before you know it they end up getting married. The twist is that Linda is pregnant with Lenny's child. A year later Lenny and Linda with their individual children meet in a toy store. They have each other's child but they don't know it.	romance	1995.0	Mighty Aphrodite	"{""/m/09c7w0"": ""United States of America""}"	453
Molly de Mora invites her divorced parents to her wedding reception where they see each other for the first time in 14 years. A shouting match between the two ensues. Following this their spark is rekindled during the wedding reception. Over the next few days they fall in love again and run off together thereby upsetting the newlyweds' honeymoon and their respective spouses. If the scandal was made public it would be more controversial than usual since the bride's husband hopes to stand for election to Congress. After searching for her parents and getting to know Joey Donna  her mother's number one paparazzi nicknamed The Cockroach whom she hires to help her find them Molly decides that her parents deserve a chance to be together and gives them her honeymoon to Hawaii. When Keith objects to her decision it is revealed that he slept with her stepmother. Knowing now that her marriage was a mistake Molly runs off with Joey as her parents run off to Hawaii.	romance	1997.0	That Old Feeling	"{""/m/09c7w0"": ""United States of America""}"	205
Philipp Wermeer has been framed for the murder of a powerful figure known as The Patriarch. Wermeer escapes but the three Saxon brothers sons of The Patriarch have arranged for a large bounty on Wermeer's head. Clayton is a grizzled exsheriff stripped of his office in Jefferson after refusing to acknowledge Wermeer's guilt. During a series of firefights Clayton contrives to help Wermeer escape from attacks of bountyhunters. Together the two make their way to Saxon City where they can confront the three powerful Saxon brothers and reveal the surprising truth about who killed The Patriarch. The film's music was composed by future Academy Award winner Luis Enríquez Bacalov. The film's title score was later used in Quentin Tarantino's film Kill Bill Vol. 1.	western	1972.0	Storm Rider	"{""/m/03rjj"": ""Italy""}"	175
Set in contemporary Singapore Gurushetram  24 Hours of Anger is a sinuously provocative edgeofyourseat thriller about Prakash who is brought up in a particular segment of the workingclass Indian society lined with the wreckage of broken families and dreams. Prakash a 17 year old teenager losing his family seeks shelter with his uncle Vinod the head of a drug ring with his mentally challenged younger brother. The two teenagers emerge as pivotal accomplices in Vinods clandestine drug operations. Unbeknownst to Vinod an adamant narcotics police superintendent is hot on their heels after receiving a string of tips offs from an anonymous informant. An earnest social counselor tries to reach out to Prakash and his brother but meets resistance from those within and outside the law. Both the law enforcers and Vinod want a piece of Prakash and his defenseless sibling in a world fraught with peril doublecrossings and deceits. Prakash has no choice but play his final card to salvage the situation and protect his brother once and for all.	thriller		Gurushetram - 24 Hours of Anger	"{""/m/06t2t"": ""Singapore""}"	230
As the film begins it is 1934 and Hamilton as the civilianturneddetective is called back to Chicago only to discover that his brother is on death row for murdering his wife. Unable to save him from the electric chair Hamilton is nonetheless convinced of his brothers innocence and is determined to clear his name. His searches lead him to the Loveland Ballroom where his brother was involved in a dance marathon run by Milland and where the murder allegedly happened. Soon the pursuit turns supernatural as Hamilton begins seeing his dead brother walking the foggy streets and a man Hamilton killed climbs out of a coffin and attacks him. Police Officer Meeker of course doesnt believe Hamiltons story and when the two of them show up at Blondells antique store Nalder is alive and well. At the center of all this weird activity is a man named Varrick whom no one has ever seenThe film depicts people being brought back to life not realizing that they are dead but forced to do the bidding of a man who resurrects them as zombies using magic he learned in Haiti. Bloch's opinion of the movie is given in his autobiography Once Around the Bloch The Dead Don't Die. Maybe they don't but the show did. Despite Curtis's casting of accomplished character actors their supporting roles couldn't prop up the lead. And Ray Milland who had given such a deftly paced performance in my script for Home Away from Home merely plodded through his part here like a zombie without a deadline. Robert Bloch Once Around the Bloch An Unauthorised Autobiography NY Tor Books 1993 36364.	horror	1975.0	The Dead Don't Die	"{""/m/09c7w0"": ""United States of America""}"	361
Dr. Mortimer Gangreen escapes from prison and has set up a base at his assistant Igor's 'Really Big Castle' located outside Paris France and he is still bent on global domination. Using his Killer Tomatoes Gangreen plans to stage a second French revolution according to an old prophecy written by Nicodemus in which the king of France will return to claim the throne. The only image of Louis XVII shows that he bears a close resemblance to Igor  and Gangreen plans to use this to his advantage to have Igor impersonate Louis XVII to claim the throne. The heroes of the film are a hasbeen TV actor named Michael and Marie the French girl he meets and falls in love with . As the Killer Tomatoes begin their attack on France hoping to reach the outskirts of Paris the true King returns and faces a showdown with Igor as to who shall rightly become king. With the help of Michael and Marie Louis triumphs and Gangreen escapes in a tomatoshaped hotair balloon planning revenge and swearing to return in the next movie.	horror	1991.0	Killer Tomatoes Eat France	"{""/m/09c7w0"": ""United States of America""}"	226
Jake Cunningham is an uptight FBI agent assigned to protect Brandi O'Neill  a lowerclass cocktail waitress who recently helped with the tax fraud investigation of her billionaire boyfriend. When Jake's wealthy parents unexpectedly call him home for the holidays Jake must bring Brandi with him in order to keep her safe prior to the trial. They pose as a couple in order to keep the proceedings a secret until the court date. The Cunninghams disapprove of the match but begin to accept Jake's girlfriend just as Jake and Brandi are truly becoming a couple. Brandi testifies against the former boyfriend. The movie ends as Brandi introduces Jake her new love to her mother.	romance		Undercover Christmas	{}	142
Sam a college student in a small Northwestern town reluctantly joins his roommates in a contest to see who can hook up with the most gorgeous coeds by the end of the semester. But when men slowly start disappearing around town he and his friends learn that when it comes to beautiful women its whats inside that really matters. In the end he and his friends with the help of Luke go after and kill the aliens but find a room full of impregnated people. Their fates are unknown. The final words onscreen are The End... Maybe.	horror	2007.0	Decoys 2: Alien Seduction	"{""/m/0d060g"": ""Canada""}"	123
When Ryu arrives in a remote rural village to settle the estate of his estranged father he stumbles into a dark web of secrets and betrayals that have lain buried for thirty years. The village is ruled over by its sinister chief Cheon a former police detective and his cabal of reformed criminals  who seem to have both hated and feared Ryus late father. It quickly becomes clear that Ryus presence is not wanted – and that Cheon and the others are hiding something terrible. Soon the unwelcome visitor finds his life threatened as the truth becomes ever more obscured and allegiances shift beneath his feet...	thriller	2010.0	Moss	"{""/m/06qd3"": ""South Korea""}"	127
Dr. Markoff has concocted a formula that spreads a hideous disease named acromegaly  which extends bones and distorts facial features. Markoff has no moral dilemma in experimenting on unsuspecting human subjects. His amoral behavior assumes monstrous dimensions when famed concert pianist Lawrence is injected with the doctor's diseaseinducing serum. In return for an antidote Markoff intends to exact more than his pound of flesh by extorting a fortune from Lawrence and demanding the hand of the musician's pretty daughter Patricia .{{cite web}}	horror	1944.0	The Monster Maker	"{""/m/09c7w0"": ""United States of America""}"	109
Each episode of Riget and Riget II begins with the same prologue detailing how the hospital Rigshospitalet in Copenhagen was built on the site of the bleaching ponds which recur in the name of the street of the hospital's official address Blegdamsvej although the exact significance of the reference is never explicitly discussed in the series. The show begins with the admission of a spiritualist patient Sigrid Drusse who hears the sound of a girl crying in the elevator shaft. Upon investigation Drusse discovers that the girl had died decades earlier having been killed by her father to hide her illegitimacy. In order to put the spirit to rest Drusse searches for the girl's body ultimately finding it preserved in a specimen jar in the office of the hospital's professor of pathology professor Bondo . Meanwhile neurosurgeon Stig Helmer a recent appointee from Sweden to the neurosurgery department tries to cover up his responsibility for a botched operation which left a young girl in a persistent vegetative state. Pathologist Dr. Bondo attempts to convince the family of a man dying from liver cancer to donate his liver to the hospital for his research. When his request is denied Bondo has the cancerous liver transplanted into his own body  so that the cancer will become his personal property and can be kept within the hospital. Amongst other plotlines a young medical student becomes attracted to the nurse in charge of the sleep research laboratory a ghostly ambulance appears and disappears every night a junior doctor runs a black market in medical supplies and a neurosurgeon discovers that she was impregnated by a ghost and that her baby is developing abnormally rapidly. In every episode two dishwashers in the cellar discuss the strange happenings at Riget and Stig Helmer stands on the roof and screams his famous catchphrase Danskjävlar .	fantasy	1994.0	The Kingdom	"{""/m/0f8l9c"": ""France"", ""/m/0k6nt"": ""Denmark"", ""/m/0d0vqn"": ""Sweden"", ""/m/0345h"": ""Germany""}"	406
The story is about a doctor played by Vishnuvardhan who falls in love with his student doctor played by Suhasini. Vishnuvardhan tries to tell his feelings to her but fails to do so. When he finally musters courage to tell her that he loves her she tells him that her marriage is fixed to Jai Jagadeesh her childhood friend and thinks of him like a guru. Vishnuvardhan cannot forget her and slowly withdraws into a shell. His mother tries to get him out of this shell but dies because of burns. Meanwhile Jai Jagadeesh starts suspecting his wife because she gives importance to hospital and not him and starts misbehaving with her at home. Suhasini discovers that Vishnuvardhan has heart enlargement and may not survive for long. Since he has no family she starts taking more care of him in hospital. This frustrates her husband even more and he misunderstands Vishnuvardhan and fights with him in the hospital. Suhasini goes to her residence to explain to her husband but discovers that her husband has abused a lady who was staying in their house. She decides to leave him but Vishnuvardhan tries to convince her husband that his relationship with Suhasini is pure and he has misunderstood them. Jai Jagadeesh misbehaves with Vishnuvardhan and Suhasini gets hurt while trying to make sense with her husband. Finally Vishnuvardhan saves the baby but dies. Suhasini divorces her husband and moves on with her just born child.	romance	1984.0	Bandhana	"{""/m/03rk0"": ""India""}"	314
After being snubbed before a weekendgetaway by his teaching assistant socially awkward professor of history Tarl Cabot accidentally unlocks the magical properties of a ring which transports him to the planet Gor. After his arrival Cabot encounters a village being attacked by the army of the tyrannical priestking Sarm. Sarm's forces are invading neighboring settlements in an effort to retrieve the Home Stone a mystical object that creates pathways between Gor and distant Earth. Cabot too is abruptly attacked by Sarm's warriors. After inadvertently killing Sarm's own son during the encounter he is left for dead in the desert. He awakens to find himself being nursed back to health by Talena  a scantily clad barbarian princess of the Kingdom of Koroba. Cabot learns that Talena's father the King has been captured by Sarm along with the Home Stone. Cabot travels with Talena on a rescue mission to Sarm's lands where they are captured. Cabot leads a group of rebels in an escape effort whereupon Cabot is able to kill Sarm rescue Talena and her father and reacquire the Home Stone. Tarl et al. return to Koraba where after Cabot and Talena admit their love for one another Cabot accidentally activates the Home Stone and is returned to Earth.Answers.com plot summaryCracked The Most Ridiculous Nerd Fantasy Ever FilmedBondage Erotica plot summary	fantasy	1987.0	Gor	"{""/m/09c7w0"": ""United States of America""}"	313
18yearold Joy starts her catalogue of bad choices by running away from home with Tom. She marries and has a son Johnny. Tom a thief mentally and physically abuses Joy and ends up in prison leaving her on her own with their son. She takes a job as a barmaid and later picks up extra money as a prostitute. Her life spirals downhill until her son goes missing and she realises what is most important to her. Tagline A love story about a girl the man she is living for and the man she is living with.	romance	1967.0	Poor Cow	"{""/m/07ssc"": ""United Kingdom""}"	122
